iter	Passed	Remaining
0	22	67738
1	48	71936
2	72	72660
3	98	73992
4	123	74069
5	150	74968
6	175	74859
7	199	74528
8	224	74591
9	250	74974
10	277	75308
11	304	75766
12	331	76227
13	359	76674
14	388	77258
15	417	77823
16	445	78223
17	481	79683
18	507	79611
19	536	79849
20	564	80005
21	592	80114
22	617	79900
23	646	80122
24	671	79875
25	696	79689
26	721	79371
27	745	79142
28	769	78797
29	795	78744
30	821	78656
31	847	78574
32	871	78348
33	895	78054
34	921	78036
35	947	77965
36	970	77707
37	994	77510
38	1022	77642
39	1047	77502
40	1069	77161
41	1094	77059
42	1118	76918
43	1144	76855
44	1169	76797
45	1193	76604
46	1218	76508
47	1243	76467
48	1273	76639
49	1298	76605
50	1323	76506
51	1349	76485
52	1377	76560
53	1404	76622
54	1428	76460
55	1456	76540
56	1482	76505
57	1507	76450
58	1534	76448
59	1561	76496
60	1586	76433
61	1617	76643
62	1650	76898
63	1682	77150
64	1714	77412
65	1753	77917
66	1786	78183
67	1813	78177
68	1841	78195
69	1868	78202
70	1890	77979
71	1914	77824
72	1940	77785
73	1964	77642
74	1988	77543
75	2014	77474
76	2038	77338
77	2058	77096
78	2086	77124
79	2108	76926
80	2136	76981
81	2159	76837
82	2187	76866
83	2212	76768
84	2236	76675
85	2260	76558
86	2284	76469
87	2309	76390
88	2338	76448
89	2362	76373
90	2386	76270
91	2409	76137
92	2435	76109
93	2458	75971
94	2483	75918
95	2508	75870
96	2532	75753
97	2557	75692
98	2582	75646
99	2605	75528
100	2631	75505
101	2653	75375
102	2679	75327
103	2703	75263
104	2725	75114
105	2750	75071
106	2772	74937
107	2798	74923
108	2824	74885
109	2846	74756
110	2870	74678
111	2893	74584
112	2919	74554
113	2944	74519
114	2968	74433
115	2994	74412
116	3017	74328
117	3043	74308
118	3065	74191
119	3090	74156
120	3116	74133
121	3141	74077
122	3165	74011
123	3189	73952
124	3208	73771
125	3232	73695
126	3256	73636
127	3283	73650
128	3307	73575
129	3332	73542
130	3356	73490
131	3379	73406
132	3402	73329
133	3429	73328
134	3457	73344
135	3483	73328
136	3506	73249
137	3530	73194
138	3555	73152
139	3579	73105
140	3603	73040
141	3628	73000
142	3648	72872
143	3672	72806
144	3697	72770
145	3722	72736
146	3748	72723
147	3772	72676
148	3798	72647
149	3837	72892
150	3862	72853
151	3894	72948
152	3923	72981
153	3954	73057
154	3989	73196
155	4018	73242
156	4044	73204
157	4067	73129
158	4093	73115
159	4117	73057
160	4138	72955
161	4161	72882
162	4189	72888
163	4211	72799
164	4236	72757
165	4261	72720
166	4283	72636
167	4307	72583
168	4334	72582
169	4355	72475
170	4382	72472
171	4406	72433
172	4435	72460
173	4461	72435
174	4483	72351
175	4506	72289
176	4540	72396
177	4565	72353
178	4592	72353
179	4619	72350
180	4646	72347
181	4671	72300
182	4694	72238
183	4721	72227
184	4745	72181
185	4769	72129
186	4795	72105
187	4819	72068
188	4844	72021
189	4866	71948
190	4892	71926
191	4915	71856
192	4938	71796
193	4963	71760
194	4988	71725
195	5010	71662
196	5038	71662
197	5061	71605
198	5085	71551
199	5110	71515
200	5133	71455
201	5158	71424
202	5185	71425
203	5210	71387
204	5235	71352
205	5256	71274
206	5281	71241
207	5308	71231
208	5333	71204
209	5358	71162
210	5382	71114
211	5404	71044
212	5428	71007
213	5454	70981
214	5479	70947
215	5500	70874
216	5522	70800
217	5549	70795
218	5573	70750
219	5600	70741
220	5623	70692
221	5649	70675
222	5675	70646
223	5703	70661
224	5736	70720
225	5766	70754
226	5796	70783
227	5837	70945
228	5862	70909
229	5887	70874
230	5912	70845
231	5938	70828
232	5962	70778
233	5985	70723
234	6009	70678
235	6032	70629
236	6057	70598
237	6079	70527
238	6104	70498
239	6132	70501
240	6157	70467
241	6182	70431
242	6206	70389
243	6231	70360
244	6256	70330
245	6279	70276
246	6305	70249
247	6330	70219
248	6355	70196
249	6379	70146
250	6405	70124
251	6429	70086
252	6455	70069
253	6483	70070
254	6507	70024
255	6530	69977
256	6556	69952
257	6580	69907
258	6606	69895
259	6633	69881
260	6658	69849
261	6684	69825
262	6707	69781
263	6733	69755
264	6756	69709
265	6782	69683
266	6806	69645
267	6832	69623
268	6857	69591
269	6881	69558
270	6907	69529
271	6931	69491
272	6955	69456
273	6981	69434
274	7006	69399
275	7029	69355
276	7056	69343
277	7081	69313
278	7107	69289
279	7132	69265
280	7154	69199
281	7180	69185
282	7204	69143
283	7228	69100
284	7251	69050
285	7273	68994
286	7297	68958
287	7324	68951
288	7346	68888
289	7369	68843
290	7395	68824
291	7420	68790
292	7445	68763
293	7470	68729
294	7493	68687
295	7517	68646
296	7543	68631
297	7568	68599
298	7595	68587
299	7619	68550
300	7642	68507
301	7668	68481
302	7694	68464
303	7717	68418
304	7742	68385
305	7767	68363
306	7792	68331
307	7818	68307
308	7842	68273
309	7864	68215
310	7899	68275
311	7926	68268
312	7961	68322
313	7992	68343
314	8023	68364
315	8060	68436
316	8093	68478
317	8119	68451
318	8144	68423
319	8171	68408
320	8198	68399
321	8223	68370
322	8249	68343
323	8277	68338
324	8300	68295
325	8324	68259
326	8349	68229
327	8372	68183
328	8394	68125
329	8420	68104
330	8444	68068
331	8469	68035
332	8496	68019
333	8519	67977
334	8544	67944
335	8566	67898
336	8592	67875
337	8628	67929
338	8654	67907
339	8681	67892
340	8705	67858
341	8731	67833
342	8753	67785
343	8779	67759
344	8802	67712
345	8828	67690
346	8851	67645
347	8876	67623
348	8898	67570
349	8923	67538
350	8948	67510
351	8976	67502
352	9001	67471
353	9026	67444
354	9050	67405
355	9075	67381
356	9100	67352
357	9124	67311
358	9150	67287
359	9172	67241
360	9196	67205
361	9223	67188
362	9247	67150
363	9272	67122
364	9297	67091
365	9324	67082
366	9350	67060
367	9375	67026
368	9398	66983
369	9424	66961
370	9449	66938
371	9478	66932
372	9504	66914
373	9528	66879
374	9555	66862
375	9579	66827
376	9603	66791
377	9630	66773
378	9655	66744
379	9679	66715
380	9703	66677
381	9727	66641
382	9760	66667
383	9793	66689
384	9824	66704
385	9858	66737
386	9895	66785
387	9931	66832
388	9957	66809
389	9983	66784
390	10005	66740
391	10032	66722
392	10058	66700
393	10084	66674
394	10108	66642
395	10139	66647
396	10163	66614
397	10187	66574
398	10211	66541
399	10237	66515
400	10262	66490
401	10286	66450
402	10311	66424
403	10335	66384
404	10364	66381
405	10388	66347
406	10410	66297
407	10437	66285
408	10462	66256
409	10488	66228
410	10514	66209
411	10540	66187
412	10565	66153
413	10589	66120
414	10612	66080
415	10639	66062
416	10664	66030
417	10687	65993
418	10709	65946
419	10736	65929
420	10763	65911
421	10787	65875
422	10813	65851
423	10838	65826
424	10866	65812
425	10892	65787
426	10916	65751
427	10940	65717
428	10966	65694
429	10989	65658
430	11017	65644
431	11041	65612
432	11063	65561
433	11085	65516
434	11111	65492
435	11134	65456
436	11159	65425
437	11181	65380
438	11207	65358
439	11236	65347
440	11260	65318
441	11283	65273
442	11305	65230
443	11331	65204
444	11355	65174
445	11379	65140
446	11404	65110
447	11428	65078
448	11453	65045
449	11478	65021
450	11504	64998
451	11528	64963
452	11551	64923
